User_ID,Personality,AgeRange,Interests,Location,WillingnessToTravelToDiffCity,GenderPreference
6206263409739149989,Introvert,26-35,"Creative Arts & DIY (Street Art, Thrifting, Photography)",Berlin,Yes,No Preference 
6207066932571247364,Introvert,26-35,"Sports & Outdoor Community (Hiking, Skating, Surfing)",Berlin,Yes,No Preference 
6216601095024763565,Extrovert,26-35,Music lovers / concert-goers,Berlin,No,Women
6226347183294444585,Introvert,26-35,"Creative Arts & DIY (Street Art, Thrifting, Photography)",Berlin,No,No Preference 
6226949581992482601,Introvert,45-59,"Sports & Outdoor Community (Hiking, Skating, Surfing)",Berlin,No,LGBTQ+
6228817592647749603,Extrovert,26-35,Music lovers / concert-goers,Berlin,Yes,Women
6234120196571612941,Introvert,21-25,"Creative Arts & DIY (Street Art, Thrifting, Photography)",Berlin,No,No Preference 
6236497670526335176,Extrovert,26-35,"Sports & Outdoor Community (Hiking, Skating, Surfing)",Berlin,Yes,Women
6245350475396145477,Introvert,21-25,Music lovers / concert-goers,Düsseldorf,No,No Preference 
6245350528331837328,Extrovert,21-25,"Creative Arts & DIY (Street Art, Thrifting, Photography)",Düsseldorf,No,No Preference 
6247712227519198177,Introvert,21-25,"Sports & Outdoor Community (Hiking, Skating, Surfing)",Hamburg,No,Women